"cik","company.name","form.type","date.filed","accession.number","downld.status"
"1018724","AMAZON COM INC","10-K",2020-01-31,"0001018724-20-000004","Download success"
"1018724","AMAZON COM INC","10-K",2021-02-03,"0001018724-21-000004","Download success"
"1018724","AMAZON COM INC","10-K",2022-02-04,"0001018724-22-000005","Download success"
"104169","Walmart Inc ","10-K",2020-03-20,"0000104169-20-000011","Download success"
"104169","Walmart Inc ","10-K",2021-03-19,"0000104169-21-000033","Download success"
"104169","Walmart Inc ","10-K",2022-03-18,"0000104169-22-000012","Download success"
"1065088","EBAY INC","10-K",2020-01-31,"0001065088-20-000006","Download success"
"1065088","EBAY INC","10-K",2021-02-04,"0001065088-21-000006","Download success"
"1065088","EBAY INC","10-K",2022-02-24,"0001065088-22-000006","Download success"
"21344","COCA COLA CO","10-K",2020-02-24,"0000021344-20-000006","Download success"
"21344","COCA COLA CO","10-K",2021-02-25,"0000021344-21-000008","Download success"
"21344","COCA COLA CO","10-K",2022-02-22,"0000021344-22-000009","Download success"
"320193","Apple Inc ","10-K",2020-10-30,"0000320193-20-000096","Download success"
"320193","Apple Inc ","10-K",2021-10-29,"0000320193-21-000105","Download success"
"320193","Apple Inc ","10-K",2022-10-28,"0000320193-22-000108","Download success"
